0.5625		1.921875		0.6875		0.6875		0.453125		0.65625		1.828125		0.796875		1.46875		0.125		
0.46875		1.6875		1.890625		0.21875		0.96875		1.046875		0.0		0.75		1.65625		1.203125		
0.109375		1.03125		1.078125		1.484375		0.359375		0.5625		0.1875		0.390625		1.109375		1.640625		
0.328125		1.0		0.796875		0.78125		0.203125		0.265625		0.046875		1.328125		0.75		0.984375		
1.625		0.296875		0.171875		0.09375		0.15625		0.90625		0.125		1.828125		1.71875		1.0625		
0.703125		1.25		1.234375		0.15625		1.34375		0.046875		0.59375		1.375		1.609375		0.34375		
1.125		1.703125		1.828125		1.03125		1.734375		1.796875		1.4375		1.28125		0.703125		1.671875		
1.328125		1.265625		1.9375		0.765625		0.578125		1.3125		1.390625		0.5		0.078125		1.609375		
0.421875		0.1875		1.703125		1.171875		0.875		0.875		1.171875		0.234375		0.359375		0.65625		
1.484375		1.078125		1.25		1.71875		1.28125		1.203125		1.671875		1.59375		0.859375		1.40625		
