0.40625		0.703125		1.390625		1.3125		0.265625		0.078125		1.390625		1.515625		0.25		1.90625		
1.078125		1.625		1.234375		1.59375		0.953125		1.140625		0.796875		1.25		1.484375		1.359375		
0.984375		0.390625		1.71875		0.109375		1.28125		1.84375		1.9375		1.71875		0.203125		0.34375		
0.125		0.046875		1.25		1.8125		0.28125		1.515625		0.140625		1.765625		0.6875		1.03125		
1.75		1.3125		1.15625		0.296875		1.328125		1.640625		1.015625		1.875		0.546875		0.703125		
0.375		1.34375		1.84375		1.078125		1.734375		0.3125		1.0		0.578125		1.84375		0.359375		
0.65625		1.921875		1.78125		0.28125		1.4375		1.515625		0.09375		1.84375		0.8125		0.703125		
1.984375		0.953125		1.140625		0.203125		0.171875		1.046875		1.46875		0.1875		0.21875		1.0625		
1.71875		1.5		0.546875		1.90625		0.46875		0.984375		1.609375		0.640625		1.3125		1.21875		
0.390625		1.671875		0.453125		1.671875		1.265625		1.953125		0.375		1.171875		0.046875		0.953125		
